code,iata,city,alias
LNH,LNH,Lake Nash,
LNI,LNI,Lonely,
LNJ,LNJ,Lincang,
LNK,LNK,"Lincoln, NE",
LNM,LNM,Langimar,
LNN,LNN,Willoughby,
LNO,LNO,Leonora,
LNP,LNP,Wise,
LNQ,LNQ,Loani,
LNR,LNR,Lone Rock,
LNS,LNS,Lancaster,
LNV,LNV,Lihir Island,
LNX,LNX,Smolensk,
LNY,LNY,Lanai City,
LNZ,LNZ,Linz,
LOA,LOA,Lorraine,
LOB,LOB,Los Andes,
LOC,LOC,Lock,
LOD,LOD,Longana,
LOE,LOE,Loei,
LOF,LOF,Loen,
LOG,LOG,Longview,
LOH,LOH,"Catamayo, Loja",
LOI,LOI,Lontras,
LOK,LOK,Lodwar,
LOL,LOL,Lovelock,
LOM,LOM,Lagos De Moreno,
LOQ,LOQ,Lobatse,
LOR,LOR,Ozark,
LOS,LOS,Lagos,
LOT,LOT,Lockport,
LOU,LOU,Louisville,
LOV,LOV,Monclova,
LOW,LOW,Louisa,
LOX,LOX,Los Tablones,
LOY,LOY,Loyangalani,
LOZ,LOZ,London,
LPA,LPA,Las Palmas,
LPB,LPB,La Paz,
LPC,LPC,Lompoc,
LPD,LPD,La Pedrera,
LPE,LPE,La Primavera,
LPG,LPG,La Plata,
LPH,LPH,Lochgilphead,
LPI,LPI,Linkoping,
LPJ,LPJ,Pijiguaos,
LPL,LPL,Liverpool,
LPM,LPM,Lamap,
LPN,LPN,Leron Plains,
LPO,LPO,Laporte,
LPQ,LPQ,Luang Prabang,
LPS,LPS,Lopez Island,
LPT,LPT,Lampang,
LPU,LPU,Long Apung,
LPW,LPW,Little Port Walter,
LPX,LPX,Liepaya,
LPY,LPY,Le Puy,
LQK,LQK,Pickens,
LQM,LQM,Puerto Leguizamo,
LQN,LQN,Qala Nau,
LRA,LRA,Larisa,
LRB,LRB,Leribe,
LRC,LRC,Laarbruch,
LRD,LRD,Laredo,
LRE,LRE,Longreach,
LRF,LRF,Jacksonville,
LRG,LRG,Lora Lai,
LRH,LRH,La Rochelle,
LRI,LRI,Lorica,
LRJ,LRJ,Lemars,
LRK,LRK,"Lincoln Rock, AK",
LRL,LRL,Niamtougou,
LRM,LRM,La Romana,
LRN,LRN,Moses Lake,
LRO,LRO,Lathrop,
LRQ,LRQ,Laurie River,
LRR,LRR,Lar,
LRS,LRS,Leros,
LRT,LRT,Lorient,
LRU,LRU,"Las Cruces, NM",
LRV,LRV,Los Roques,
LSA,LSA,Losuia,
LSB,LSB,Lordsburg,
LSC,LSC,La Serena,
LSD,LSD,Lexington,
LSE,LSE,La Crosse,
LSF,LSF,Columbus,
LSH,LSH,Lashio,
LSI,LSI,Shetland Islands,
LSJ,LSJ,Long Island,
LSK,LSK,Lusk,
LSL,LSL,Los Chiles,
LSM,LSM,Long Semado,
LSN,LSN,Los Banos,
LSO,LSO,Les Sables,
LSP,LSP,Las Piedras,
LSQ,LSQ,Los Angeles,
LSR,LSR,Lost River,
LSS,LSS,Terre-de-Haut,
LST,LST,Launceston,
LSU,LSU,Long Sukang,
LSV,LSV,"Las Vegas, NV",
LSW,LSW,Lhoksumawe,
LSX,LSX,Lhok Sukon,
LSY,LSY,Lismore,
LSZ,LSZ,Mali Losinj,
LTA,LTA,Tzaneen,
LTB,LTB,Latrobe,
LTC,LTC,Lai,
LTD,LTD,Ghadames,
LTF,LTF,Leitre,
LTG,LTG,Langtang,
LTH,LTH,Lathrop Wells,
LTI,LTI,Altai,
LTK,LTK,Latakia,
LTL,LTL,Lastourville,
LTM,LTM,Lethem,
LTN,LTN,Luton,
LTO,LTO,Loreto,
LTP,LTP,Lyndhurst,
LTQ,LTQ,Le Touquet,
LTR,LTR,Letterkenny,
LTS,LTS,Altus,
LTT,LTT,Saint Tropez,
LTV,LTV,Lotusvale,
LTW,LTW,Leonardtown,
LTX,LTX,Latacunga,
LUA,LUA,Lukla,
LUB,LUB,Lumid Pau,
LUC,LUC,Laucala Is,
LUD,LUD,Luderitz,
LUE,LUE,Lucenec,
LUF,LUF,Phoenix,
LUG,LUG,Lugano/Agno,
LUH,LUH,Ludhiana,
LUI,LUI,La Union,
LUJ,LUJ,Lusikisiki,
LUK,LUK,"Cincinnati, OH",
LUL,LUL,"Laurel, MS",
LUM,LUM,Luxi,
LUN,LUN,Lusaka,
LUO,LUO,Luena,
LUP,LUP,Kalaupapa,
LUQ,LUQ,San Luis,
LUR,LUR,Cape Lisburne,
LUS,LUS,Lusanga,
LUT,LUT,Laura Station,
LUU,LUU,Laura,
LUV,LUV,Langgur,
LUW,LUW,Luwuk,
LUX,LUX,Luxembourg,
LUY,LUY,Lushoto,
LUZ,LUZ,Lushan,
LVA,LVA,Laval,
LVB,LVB,Livramento,
LVD,LVD,Lime Village,
LVI,LVI,Livingstone,
LVK,LVK,Livermore,
LVL,LVL,Lawrenceville,
LVM,LVM,Livingston,
LVO,LVO,Laverton,
LVP,LVP,Lavan,
LVS,LVS,Las Vegas,
LWA,LWA,Lwbak,
LWB,LWB,Lewisburg,
LWC,LWC,Lawrence,
LWE,LWE,Lewoleba,
LWH,LWH,Lawn Hill,
LWI,LWI,Lowai,
LWK,LWK,Shetland Islands,
LWL,LWL,Wells,
LWM,LWM,Lawrence,
LWO,LWO,Lviv,
LWR,LWR,Leeuwarden,
LWS,LWS,Lewiston,
LWT,LWT,Lewistown,
LWV,LWV,Lawrenceville,
LWY,LWY,Lawas,
LXA,LXA,Gonggar,
LXG,LXG,Luang Namtha,
LXI,LXI,Linxi,
LXN,LXN,Lexington,
LXR,LXR,Luxor,
LXS,LXS,Limnos,
LXU,LXU,Lukulu,
LXV,LXV,Leadville,
LYA,LYA,Luoyang,
LYB,LYB,Little Cayman,
LYC,LYC,Lycksele,
LYE,LYE,Lyneham,
LYG,LYG,Lianyungang,
LYH,LYH,Lynchburg,
LYI,LYI,Linyi,
LYK,LYK,Lunyuk,
LYN,LYN,Lyon,
LYO,LYO,Lyons,
LYP,LYP,Faisalabad,
LYR,LYR,Longyearbyen,
LYS,LYS,Lyon,
LYT,LYT,Lady Elliot Island,
LYU,LYU,Ely,
LZA,LZA,Luiza,
LZC,LZC,Lazaro Cardenas,
LZD,LZD,Lanzhou,
LZH,LZH,Liuzhou,
LZI,LZI,Luozi,
LZM,LZM,Luzamba,
LZN,LZN,Nangan,
LZO,LZO,Luzhou,
LZR,LZR,Lizard Island,
MAA,MAA,Chennai/Madras,
MAB,MAB,Maraba,
MAC,MAC,Macon,
MAD,MAD,Мадрид,
MAE,MAE,Madera,
MAF,MAF,Midland,
MAG,MAG,Madang,
MAH,MAH,Menorca,
MAI,MAI,Mangochi,
MAJ,MAJ,Majuro,
MAK,MAK,Malakal,
MAL,MAL,Mangole,
MAM,MAM,Matamoros,
MAN,MAN,Manchester,
MAO,MAO,Manaus,
MAP,MAP,Mamai,
MAQ,MAQ,Mae Sot,
MAR,MAR,Maracaibo,
MAS,MAS,Manus Island,
MAT,MAT,Matadi,
MAU,MAU,Maupiti,
MAV,MAV,Maloelap Island,
MAW,MAW,Malden,
MAX,MAX,Matam,
MAY,MAY,Mangrove Cay,
MAZ,MAZ,Mayaguez,
MBA,MBA,Mombasa,
MBB,MBB,Marble Bar,
MBC,MBC,Mbigou,
MBD,MBD,Mmabatho,
MBE,MBE,Monbetsu,
MBF,MBF,Mount Buffalo,
MBG,MBG,Mobridge,
MBH,MBH,Maryborough,
MBI,MBI,Mbeya,
MBJ,MBJ,Montego Bay,
MBK,MBK,Matupa,
MBL,MBL,Manistee,
MBM,MBM,Mkambati,
MBN,MBN,Mt Barnett,
MBO,MBO,Mamburao,
MBP,MBP,Moyobamba,
MBQ,MBQ,Mbarara,
MBR,MBR,Mbout,
MBS,MBS,"Saginaw, MI",
MBT,MBT,Masbate,
MBU,MBU,Mbambanakira,
MBV,MBV,Masa,
MBW,MBW,Mentone,
MBX,MBX,Maribor,
MBY,MBY,Moberly,
MBZ,MBZ,Maues,
MCA,MCA,Macenta,
MCB,MCB,Mccomb,
MCC,MCC,Sacramento,
MCD,MCD,Mackinac Island,
MCE,MCE,Merced,
MCF,MCF,Tampa,
MCG,MCG,Mcgrath,
MCH,MCH,Machala,
MCI,MCI,Kansas City,
MCJ,MCJ,Maicao,
MCK,MCK,Mccook,
MCL,MCL,Mt Mckinley,
MCM,MCM,Monte Carlo,
MCN,MCN,Macon,
MCO,MCO,"Orlando, FL",
MCP,MCP,Macapa,
MCQ,MCQ,Miskolc,
MCR,MCR,Melchor De Menco,
MCS,MCS,Monte Caseros,
MCT,MCT,Muscat,
MCU,MCU,Montlucon,
MCV,MCV,Mcarthur River,
MCW,MCW,"Mason City, IA",
MCY,MCY,Sunshine Coast,
MCZ,MCZ,Maceio,
MDA,MDA,"San Antonio, TX",
MDB,MDB,Melinda,
MDC,MDC,Manado,
MDD,MDD,Midland,
MDE,MDE,Medellin,
MDF,MDF,Medford,
MDG,MDG,Mudanjiang,
MDH,MDH,Carbondale,
MDI,MDI,Makurdi,
MDJ,MDJ,Madras,
MDK,MDK,Mbandaka,
MDL,MDL,Mandalay,
MDM,MDM,Munduku,
MDN,MDN,Madison,
MDO,MDO,Middleton Island,
MDP,MDP,Mindiptana,
MDQ,MDQ,Mar Del Plata,
MDR,MDR,Medfra,
MDS,MDS,Middle Caicos,
MDT,MDT,"Harrisburg, PA",
MDU,MDU,Mendi,
MDV,MDV,Medouneu,
MDW,MDW,Chicago,
MDX,MDX,Mercedes,
MDY,MDY,Midway Island,
MDZ,MDZ,Mendoza,
MEA,MEA,Macae,
MEB,MEB,Melbourne,
MEC,MEC,Manta,
MED,MED,"Медина, Саудовская Аравия",
MEE,MEE,Mare,
MEF,MEF,Melfi,
MEG,MEG,Malange,
MEH,MEH,Mehamn,
MEI,MEI,Meridian,
MEJ,MEJ,Meadville,
MEK,MEK,Meknes,
MEL,MEL,Melbourne,
MEM,MEM,Memphis,
MEN,MEN,Mende,
MEO,MEO,Manteo,
MEP,MEP,Mersing,
MEQ,MEQ,Meulaboh,
MER,MER,"Atwater, CA",
MES,MES,Medan,
MET,MET,Moreton,
MEU,MEU,Monte Dourado,
MEV,MEV,Minden,
MEW,MEW,Mweka,
MEX,MEX,Мехико,
MEY,MEY,Meghauli,
MEZ,MEZ,Messina,
MFA,MFA,Mafia,
MFB,MFB,Monfort,
MFC,MFC,Mafeteng,
MFD,MFD,Mansfield,
MFE,MFE,"Mc Allen, TX",
MFF,MFF,Moanda,
MFG,MFG,Muzaffarabad,
MFH,MFH,Mesquite,
MFI,MFI,Marshfield,
MFJ,MFJ,Moala,
MFK,MFK,Matsu,
MFL,MFL,Mount Full Stop,
MFM,MFM,Macau,
MFN,MFN,Milford Sound,
MFO,MFO,Manguna,
MFP,MFP,Manners Creek,
MFQ,MFQ,Maradi,
MFR,MFR,Medford,
MFS,MFS,Miraflores,
MFT,MFT,Machu Picchu,
MFU,MFU,Mfuwe,
MFV,MFV,Melfa,
MFW,MFW,Magaruque,
MFX,MFX,Meribel,
MFZ,MFZ,Mesalia,
MGA,MGA,Managua,
MGB,MGB,Mount Gambier,
MGC,MGC,Michigan City,
MGD,MGD,Magdalena,
MGE,MGE,Marietta,
MGF,MGF,Maringa,
MGG,MGG,Margarima,
MGH,MGH,Margate,
MGI,MGI,Matagorda Island,
MGJ,MGJ,Montgomery,
MGK,MGK,Mong Ton,
MGL,MGL,Moenchengladbach,
MGM,MGM,Montgomery,
MGN,MGN,Magangue,
MGO,MGO,Manega,
MGP,MGP,Manga,
MGQ,MGQ,Mogadishu,
MGR,MGR,Moultrie,
MGS,MGS,Mangaia Island,
MGT,MGT,Milingimbi,
MGU,MGU,Manaung,
MGV,MGV,Margaret River Station,
MGW,MGW,Morgantown,
MGX,MGX,Moabi,
MGY,MGY,Dayton,
MGZ,MGZ,Myeik,
MHA,MHA,Mahdia,
MHB,MHB,Auckland,
MHC,MHC,Macmahon Camp 4,
MHD,MHD,Mashad,
MHE,MHE,Mitchell,
MHF,MHF,Morichal,
MHG,MHG,Mannheim,
MHH,MHH,Marsh Harbour,
MHI,MHI,Musha,
MHJ,MHJ,Misrak Gashamo,
MHK,MHK,Manhattan,
MHL,MHL,Marshall,
MHM,MHM,Minchumina,
MHN,MHN,Mullen,
MHO,MHO,Mount House,
MHP,MHP,Minsk,
MHQ,MHQ,Mariehamn,
MHR,MHR,"Sacramento, CA",
MHS,MHS,Mount Shasta,
MHT,MHT,"Manchester, NH",
MHU,MHU,Mount Hotham,
MHV,MHV,Mojave,
MHW,MHW,Monteagudo,
MHX,MHX,Manihiki Island,
MHY,MHY,Morehead,
MHZ,MHZ,Mildenhall,
MIA,MIA,Miami,
MIB,MIB,Minot,
MIC,MIC,Minneapolis,
MID,MID,Merida,
MIE,MIE,Muncie,
MIF,MIF,Monahans,
MIG,MIG,Mian Yang,
MIH,MIH,Mitchell Plateau,
MII,MII,Marilia,
MIJ,MIJ,Mili Island,
MIK,MIK,Mikkeli,
MIM,MIM,Merimbula,
MIN,MIN,Minnipa,
MIO,MIO,Miami,
MIP,MIP,Mitspeh Ramon,
MIQ,MIQ,Maiquetнa,
MIR,MIR,Monastir,
MIS,MIS,Misima Island,
MIT,MIT,Shafter,
MIU,MIU,Maiduguri,
MIV,MIV,Millville,
MIW,MIW,Marshalltown,
MIX,MIX,Miriti,
MIY,MIY,Mittiebah,
MIZ,MIZ,Mainoru,
MJA,MJA,Manja,
MJB,MJB,Mejit Island,
MJC,MJC,Man,
MJD,MJD,Mohenjodaro,
MJE,MJE,Majkin,
MJF,MJF,Mosjoen,
MJG,MJG,Mayajigua,
MJH,MJH,Majma,
MJI,MJI,Mitiga,
MJJ,MJJ,Moki,
MJK,MJK,Monkey Mia,
MJL,MJL,Mouila,
MJM,MJM,Mbuji Mayi,
MJN,MJN,Majunga,
MJO,MJO,Mount Etjo Lodge,
MJP,MJP,Manjimup,
MJQ,MJQ,Jackson,
MJR,MJR,Miramar,
MJS,MJS,Maganja Da Costa,
MJT,MJT,Mytilene,
MJU,MJU,Mamuju,
MJV,MJV,Murcia,
MJW,MJW,Mahenye,
MJX,MJX,Toms River,
MJY,MJY,Mangunjaya,
MKA,MKA,Marianske Lazne,
MKB,MKB,Mekambo,
MKC,MKC,Kansas City,
MKD,MKD,Chagni,
MKE,MKE,Milwaukee,
MKF,MKF,Columbus,
MKG,MKG,Muskegon,
MKH,MKH,Mokhotlong,
MKJ,MKJ,Makoua,
MKK,MKK,Hoolehua,
MKL,MKL,Jackson,
MKM,MKM,Mukah,
MKN,MKN,Malekolon,
MKO,MKO,Muskogee,
MKP,MKP,Makemo,
MKQ,MKQ,Merauke,
MKR,MKR,Meekatharra,
MKS,MKS,Mekane Selam,
MKT,MKT,Mankato,
MKU,MKU,Makokou,
MKV,MKV,Mt Cavenagh,
MKW,MKW,Manokwari,
MKX,MKX,Mukalla,
MKY,MKY,Mackay,
MKZ,MKZ,Malacca,
MLA,MLA,Мальта,
MLB,MLB,Melbourne,
MLC,MLC,Mc Alester,
MLD,MLD,Malad City,
MLF,MLF,Milford,
MLG,MLG,Malang,
MLH,MLH,Basel Mulhouse Freiburg,
MLI,MLI,Moline,
MLJ,MLJ,Milledgeville,
MLK,MLK,Malta,
MLL,MLL,Marshall,
MLM,MLM,Morelia,
MLN,MLN,Melilla,
MLO,MLO,Milos,
MLP,MLP,Malabang,
MLQ,MLQ,Malalaua,
MLR,MLR,Millicent,
MLS,MLS,Miles City,
MLT,MLT,Millinocket,
MLU,MLU,Monroe,
MLV,MLV,Merluna,
MLW,MLW,Monrovia,
MLX,MLX,Malatya,
MLY,MLY,Manley Hot Springs,
MLZ,MLZ,Melo,
MMB,MMB,Memanbetsu,
MMC,MMC,Ciudad Mante,
MMD,MMD,Minami Daito,
MME,MME,"Teesside, Durham",
MMF,MMF,Mamfe,
MMG,MMG,Mount Magnet,
MMH,MMH,Mammoth Lakes,
MMI,MMI,Athens,
MMJ,MMJ,Matsumoto,
MML,MML,Marshall,
MMM,MMM,Middlemount,
MMN,MMN,Stow,
MMO,MMO,Maio,
MMP,MMP,Mompos,
MMQ,MMQ,Mbala,
MMR,MMR,Austin,
MMS,MMS,Marks,
MMT,MMT,Columbia,
MMU,MMU,Morristown,
MMV,MMV,Mal,
MMX,MMX,Malmo,
MMY,MMY,Miyako Jima,
MMZ,MMZ,Maimana,
MNA,MNA,Melangguane,
MNB,MNB,Moanda,
MNC,MNC,Nacala,
MND,MND,Medina,
MNE,MNE,Mungeranie,
MNF,MNF,Mana Island,
MNG,MNG,Maningrida,
MNH,MNH,Minneriya,
MNI,MNI,Gerald&#039;s Park,
MNJ,MNJ,Mananjary,
MNK,MNK,Maiana,
MNL,MNL,Manila,
MNM,MNM,Menominee,
MNN,MNN,Marion,
MNO,MNO,Manono,
MNP,MNP,Maron,
MNQ,MNQ,Monto,
MNR,MNR,Mongu,
MNS,MNS,Mansa,
MNT,MNT,Minto,
MNU,MNU,Maulmyine,
MNV,MNV,Mountain Valley,
MNW,MNW,Macdonald Downs,
MNX,MNX,Manicore,
MNY,MNY,Mono,
MNZ,MNZ,Manassas,
MOA,MOA,Moa,
MOB,MOB,"Alabama, AL",
MOC,MOC,Montes Claros,
MOD,MOD,"Modesto, CA",
MOE,MOE,Momeik,
MOF,MOF,Maumere,
MOG,MOG,Mong Hsat,
MOH,MOH,Mohanbari,
MOI,MOI,Mitiaro Island,
MOJ,MOJ,Moengo,
MOK,MOK,Mankono,
MOL,MOL,Molde,
MOM,MOM,Moudjeria,
MON,MON,Mount Cook,
MOO,MOO,Moomba,
MOP,MOP,Mount Pleasant,
MOQ,MOQ,Morondava,
MOR,MOR,Morristown,
MOS,MOS,Moses Point,
MOT,MOT,Minot,
MOU,MOU,Mountain Village,
MOV,MOV,Moranbah,
MOX,MOX,Morris,
MOY,MOY,Monterrey,
MOZ,MOZ,Moorea,
MPA,MPA,Mpacha,
MPB,MPB,Miami,
MPC,MPC,Muko-Muko,
MPD,MPD,Mirpur Khas,
MPE,MPE,Madison,
MPF,MPF,Mapoda,
MPG,MPG,Makini,
MPH,MPH,Caticlan,
MPI,MPI,Mamitupo,
MPJ,MPJ,Morrilton,
MPK,MPK,Mokpo,
MPL,MPL,Montpellier,
MPM,MPM,Maputo,
MPN,MPN,Mount Pleasant,
MPO,MPO,Mt Pocono,
MPP,MPP,Mulatupo,
MPQ,MPQ,Maan,
MPR,MPR,Mcpherson,
MPS,MPS,Mount Pleasant,
MPT,MPT,Maliana,
MPU,MPU,Mapua,
MPV,MPV,"Montpelier, VT",
MPW,MPW,Mariupol,
MPX,MPX,Miyanmin,
MPY,MPY,Maripasoula,
MPZ,MPZ,Mt Pleasant,
MQA,MQA,Mandora,
MQB,MQB,Macomb,
MQC,MQC,Miquelon,
MQD,MQD,Maquinchao,
MQE,MQE,Marqua,
MQG,MQG,Midgard,
MQH,MQH,Minacu,
MQI,MQI,Quincy,
MQJ,MQJ,Balikesir,
MQK,MQK,San Matias,
MQL,MQL,Mildura,
MQM,MQM,Mardin,
MQN,MQN,Mo I Rana,
MQO,MQO,Malam,
MQP,MQP,Nelspruit,
MQQ,MQQ,Moundou,
MQR,MQR,Mosquera,
MQS,MQS,Mustique Island,
MQT,MQT,Marquette,
MQU,MQU,Mariquita,
MQV,MQV,Mostaganem,
MQW,MQW,Mc Rae,
MQX,MQX,Makale,
MQY,MQY,Smyrna,
MQZ,MQZ,Margaret River,
MRA,MRA,Misurata,
MRB,MRB,Martinsburg,
MRC,MRC,Columbia,
MRD,MRD,Merida,
MRE,MRE,Mara Lodges,
MRF,MRF,Marfa,
MRG,MRG,Mareeba,
MRH,MRH,May River,
MRI,MRI,Anchorage,
MRJ,MRJ,Marcala,
MRK,MRK,Marco Island,
MRL,MRL,Miners Lake,
MRM,MRM,Manare,
MRN,MRN,Morganton,
MRO,MRO,Masterton,
MRP,MRP,Marla,
MRQ,MRQ,Marinduque,
MRR,MRR,Macara,
MRS,MRS,Marseille,
MRT,MRT,Moroak,
MRU,MRU,Порт-Луис,
MRW,MRW,Maribo,
MRX,MRX,Bandar Mahshahr,
MRY,MRY,Monterey,
MRZ,MRZ,Moree,
MSA,MSA,Muskrat Dam,
MSB,MSB,St Martin,
MSC,MSC,Mesa,
MSD,MSD,Mt Pleasant,
MSE,MSE,Manston,
MSF,MSF,Mount Swan,
MSG,MSG,Matsaile,
MSH,MSH,Masirah,
MSI,MSI,Masalembo,
MSJ,MSJ,Misawa,
MSK,MSK,Mastic Point,
MSL,MSL,Sheffield,
MSM,MSM,Masi Manimba,
MSN,MSN,Madison,
MSO,MSO,Missoula,
MSP,MSP,Minneapolis,
MSR,MSR,Mus,
MSS,MSS,Massena,
MST,MST,Maastricht,
MSU,MSU,Maseru,
MSV,MSV,Monticello,
MSW,MSW,Massawa,
MSX,MSX,Mossendjo,
MSZ,MSZ,Namibe,
MTA,MTA,Matamata,
MTB,MTB,Monte Libano,
MTC,MTC,Mt Clemens,
MTD,MTD,Mt Sandford,
MTE,MTE,Monte Alegre,
MTF,MTF,Mizan Teferi,
MTG,MTG,Mato Grosso,
MTH,MTH,Marathon,
MTI,MTI,Mosteiros,
MTJ,MTJ,Montrose,
MTK,MTK,Makin Island,
MTL,MTL,Maitland,
MTM,MTM,Metlakatla,
MTN,MTN,Baltimore,
MTO,MTO,Mattoon,
MTP,MTP,Montauk,
MTQ,MTQ,Mitchell,
MTR,MTR,Monteria,
MTS,MTS,Manzini,
MTT,MTT,Minatitlan,
MTU,MTU,Montepuez,
MTV,MTV,Mota Lava,
MTW,MTW,Manitowoc,
MTX,MTX,Fairbanks,
MTY,MTY,Monterrey,
MTZ,MTZ,Masada,
MUA,MUA,Munda,
MUB,MUB,Maun,
MUC,MUC,Мюнхен,
MUD,MUD,Mueda,
MUE,MUE,Kamuela,
MUF,MUF,Muting,
MUG,MUG,Mulege,
MUH,MUH,Mersa Matruh,
MUI,MUI,Fort Indiantown,
MUJ,MUJ,Mui,
MUK,MUK,Mauke Island,
MUL,MUL,Moultrie,
MUM,MUM,Mumias,
MUN,MUN,Maturin,
MUO,MUO,Mountain Home,
MUP,MUP,Mulga Park,
MUQ,MUQ,Muccan,
MUR,MUR,Marudi,
MUS,MUS,Marcus Island,
MUT,MUT,Muscatine,
MUU,MUU,Mount Union,
MUV,MUV,Philadelphia,
MUW,MUW,Mascara,
MUX,MUX,Multan,
MUY,MUY,Mouyondzi,
MUZ,MUZ,Musoma,
MVA,MVA,Myvatn,
MVB,MVB,Franceville,
MVC,MVC,Monroeville,
MVD,MVD,Montevideo,
MVE,MVE,"Montevideo, MN",
MVF,MVF,Mossoro,
MVG,MVG,Mevang,
MVH,MVH,Macksville,
MVI,MVI,Manetai,
MVJ,MVJ,Mandeville,
MVK,MVK,Mulka,
MVL,MVL,Stowe,
MVM,MVM,"Kayenta, AZ",
MVN,MVN,Mt Vernon,
MVO,MVO,Mongo,
MVP,MVP,Mitu,
MVR,MVR,Maroua,
MVS,MVS,Mucuri,
MVT,MVT,Mataiva,
MVU,MVU,Musgrave,
MVV,MVV,Megeve,
MVW,MVW,Mount Vernon,
MVX,MVX,Minvoul,
MVZ,MVZ,Masvingo,
MWA,MWA,Marion,
MWB,MWB,Morawa,
MWC,MWC,Milwaukee,
MWD,MWD,Mianwali,
MWE,MWE,Merowe,
MWF,MWF,Maewo,
MWG,MWG,Marawaka,
MWH,MWH,Moses Lake,
MWI,MWI,Maramuni,
MWJ,MWJ,Matthews Ridge,
MWK,MWK,Matak,
MWL,MWL,Mineral Wells,
MWM,MWM,"Windom, MN",
MWN,MWN,Mwadui,
MWO,MWO,"Middletown, Ohio",
MWP,MWP,Mountain,
MWQ,MWQ,Magwe,
MWR,MWR,Motswari,
MWS,MWS,Mount Wilson,
MWT,MWT,Moolawatana,
MWU,MWU,Mussau,
MWV,MWV,Mundulkiri,
MWW,MWW,Mouscron,
MWY,MWY,Miranda Downs,
MWZ,MWZ,Mwanza,
MXA,MXA,Manila,
MXB,MXB,Masamba,
MXC,MXC,Monticello,
MXD,MXD,Marion Downs,
MXE,MXE,Maxton,
MXF,MXF,Montgomery,
MXG,MXG,Marlborough,
MXH,MXH,Moro,
MXI,MXI,Mati,
MXJ,MXJ,Minna,
MXK,MXK,Mindik,
MXL,MXL,Mexicali,
MXM,MXM,Morombe,
MXN,MXN,Morlaix,
MXO,MXO,Monticello,
MXP,MXP,Milan,
MXQ,MXQ,Mitchell River,
MXR,MXR,Mirgorod,
MXS,MXS,Maota Savaii Is,
MXT,MXT,Maintirano,
MXU,MXU,Mullewa,
MXV,MXV,Moron,
MXW,MXW,Mandalgobi,
MXX,MXX,Mora,
MXY,MXY,Mccarthy,
MXZ,MXZ,Meixian,
MYA,MYA,Moruya,
MYB,MYB,Mayoumba,
MYC,MYC,Maracay,
MYD,MYD,Malindi,
MYE,MYE,Miyake Jima,
MYF,MYF,San Diego,
MYG,MYG,Mayaguana,
MYH,MYH,Marble Canyon,
MYI,MYI,Murray Island,
MYJ,MYJ,Matsuyama,
MYK,MYK,May Creek,
MYL,MYL,Mccall,
MYM,MYM,Monkey Mountain,
MYN,MYN,Mareb,
MYO,MYO,Myroodah,
MYQ,MYQ,Mysore,
MYR,MYR,Myrtle Beach,
MYS,MYS,Moyale,
MYT,MYT,Myitkyina,
MYU,MYU,Mekoryuk,
MYV,MYV,Marysville,
MYW,MYW,Mtwara,
MYX,MYX,Menyamya,
MYY,MYY,Miri,
MYZ,MYZ,Monkey Bay,
MZA,MZA,Muzaffarnagar,
MZB,MZB,Mocimboa Praia,
MZC,MZC,Mitzic,
MZD,MZD,Mendez,
MZE,MZE,Manatee,
MZF,MZF,Mzamba(Wild Coast Sun),
MZG,MZG,Makung,
MZH,MZH,Merzifon,
MZI,MZI,Mopti,
MZJ,MZJ,Marana,
MZK,MZK,Marakei,
MZL,MZL,Manizales,
MZM,MZM,Metz,
MZN,MZN,Minj,
MZO,MZO,Manzanillo,
MZP,MZP,Motueka,
MZQ,MZQ,Mkuze,
MZR,MZR,Mazar-i-sharif,
MZS,MZS,Mostyn,
MZT,MZT,Mazatlan,
MZU,MZU,Muzaffarpur,
MZV,MZV,"Mulu, Sarawak",
MZW,MZW,Mechria,
MZX,MZX,Mena,
MZY,MZY,Mossel Bay,
MZZ,MZZ,Marion,
NAA,NAA,Narrabri,
NAB,NAB,Albany,
NAC,NAC,Naracoorte,
NAD,NAD,Macanal,
NAE,NAE,Natitingou,
NAF,NAF,Banaina,
NAG,NAG,Nagpur,
NAH,NAH,Naha,
NAI,NAI,Annai,
NAK,NAK,Nakhon Ratchasima,
NAM,NAM,Namlea,
NAN,NAN,Nadi,
NAO,NAO,Nanchong,
NAP,NAP,Napoli,
NAQ,NAQ,Qaanaaq,
NAR,NAR,Nare,
NAS,NAS,Nassau,
NAT,NAT,Natal,
NAU,NAU,Napuka Island,
NAV,NAV,Nevsehir,
NAW,NAW,Narathiwat,
NAX,NAX,Barbers Point,
NAY,NAY,Beijing,
NAZ,NAZ,Star Habour,
NBA,NBA,Nambaiyufa,
NBB,NBB,Barrancominas,
NBG,NBG,New Orleans,
NBH,NBH,Nambucca Heads,
NBL,NBL,San Blas,
NBO,NBO,Nairobi,
NBP,NBP,New York,
NBR,NBR,Nambour,
NBU,NBU,Glenview,
NBV,NBV,Cana Brava,
NBW,NBW,Guantanamo,
NBX,NBX,Nabire,
NCA,NCA,North Caicos,
NCG,NCG,Paloma Grande,
NCH,NCH,Nachingwea,
NCI,NCI,Necocli,
NCL,NCL,Newcastle,
NCN,NCN,New Chenega,
NCO,NCO,Quonset Point,
NCP,NCP,Luzon Is,
NCQ,NCQ,"Marietta, GA",
NCR,NCR,San Carlos,
NCS,NCS,Newcastle,
NCT,NCT,Nicoya,
